Linux 3.13.0-100-generic (ip-172-31-5-56) 	12/30/2016 	_x86_64_	(1 CPU)

12:53:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:53:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:43 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
12:53:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:48 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
12:53:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:51 PM     all      0.99      0.00      0.00      0.00      0.99     98.02
12:53:52 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:53:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:54 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
12:53:55 PM     all      0.99      0.00      0.00      0.99      0.00     98.02
12:53:56 PM     all      1.00      0.00      1.00      0.00      0.00     98.00
12:53:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:53:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:14 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:54:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:21 PM     all      0.99      0.00      0.00      0.99      0.00     98.02
12:54:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:25 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:54:26 PM     all      0.00      0.00      1.01      3.03      0.00     95.96
12:54:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:28 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:54:29 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
12:54:30 PM     all     15.84      0.00      0.99      0.00      0.00     83.17
12:54:31 PM     all     50.52      0.00      1.03      0.00      0.00     48.45
12:54:32 PM     all      7.45      0.00      1.06      0.00      1.06     90.43
12:54:33 PM     all     11.46      0.00      3.12      0.00      0.00     85.42
12:54:34 PM     all      5.43      0.00      1.09      0.00      0.00     93.48
12:54:35 PM     all     10.75      0.00      5.38     13.98      0.00     69.89
12:54:36 PM     all     11.96      0.00      2.17      0.00      0.00     85.87
12:54:37 PM     all      8.70      0.00      1.09      0.00      1.09     89.13
12:54:38 PM     all     12.63      0.00      1.05      0.00      0.00     86.32
12:54:39 PM     all      9.68      0.00      1.08      0.00      0.00     89.25
12:54:40 PM     all      4.30      0.00      2.15      1.08      1.08     91.40
12:54:41 PM     all      5.49      0.00      2.20      2.20      0.00     90.11
12:54:42 PM     all     22.83      0.00      6.52      6.52      0.00     64.13
12:54:43 PM     all     18.48      0.00      0.00      0.00      0.00     81.52
12:54:44 PM     all     16.84      0.00      2.11      0.00      0.00     81.05
12:54:45 PM     all     22.58      0.00      1.08      0.00      1.08     75.27
12:54:46 PM     all     17.20      0.00      1.08      0.00      0.00     81.72
12:54:47 PM     all      5.49      0.00      1.10      1.10      0.00     92.31
12:54:48 PM     all     10.53      0.00      2.11      0.00      1.05     86.32
12:54:49 PM     all     17.78      2.22      3.33     11.11      0.00     65.56
12:54:50 PM     all     16.30      2.17      3.26      6.52      0.00     71.74
12:54:51 PM     all     19.78      2.20      2.20      2.20      0.00     73.63
12:54:52 PM     all     10.99      0.00      5.49      4.40      1.10     78.02
12:54:53 PM     all      9.78      2.17      4.35      2.17      0.00     81.52
12:54:54 PM     all     11.36      1.14      1.14      4.55      1.14     80.68
12:54:55 PM     all      6.82      1.14      4.55      1.14      0.00     86.36
12:54:56 PM     all     16.30      1.09      9.78     13.04      0.00     59.78
12:54:57 PM     all      9.78      1.09      2.17      2.17      1.09     83.70
12:54:58 PM     all      6.38      2.13      5.32      5.32      0.00     80.85
12:54:59 PM     all     13.19      0.00      1.10      0.00      0.00     85.71
12:55:00 PM     all      8.79      0.00      2.20      1.10      1.10     86.81
12:55:01 PM     all      3.30      0.00      1.10      0.00      0.00     95.60
12:55:02 PM     all      2.13      0.00      3.19      4.26      0.00     90.43
12:55:03 PM     all     13.68      0.00      2.11      0.00      0.00     84.21
12:55:04 PM     all      8.60      0.00      5.38      9.68      1.08     75.27
12:55:05 PM     all      2.22      0.00      1.11      4.44      0.00     92.22
12:55:06 PM     all     17.39      0.00      0.00      0.00      0.00     82.61
12:55:07 PM     all      5.26      0.00      1.05      0.00      1.05     92.63
12:55:08 PM     all      3.12      0.00      1.04      2.08      0.00     93.75
12:55:09 PM     all      1.10      0.00      3.30      0.00      0.00     95.60
12:55:10 PM     all      5.43      0.00      1.09      0.00      0.00     93.48
12:55:11 PM     all      7.69      0.00      5.49     10.99      0.00     75.82
12:55:12 PM     all      3.26      0.00      1.09      1.09      1.09     93.48
12:55:13 PM     all      3.26      0.00      2.17      0.00      0.00     94.57
12:55:14 PM     all      3.30      0.00      1.10      0.00      1.10     94.51
12:55:15 PM     all     14.89      0.00      2.13      0.00      0.00     82.98
12:55:16 PM     all     36.17      0.00      1.06      4.26      0.00     58.51
12:55:17 PM     all      1.10      0.00      3.30      3.30      0.00     92.31
12:55:18 PM     all     23.91      3.26      9.78     15.22      0.00     47.83
12:55:19 PM     all      5.62      1.12      3.37      2.25      1.12     86.52
12:55:20 PM     all      2.30      2.30      2.30      4.60      0.00     88.51
12:55:21 PM     all     10.87      2.17      4.35      1.09      1.09     80.43
12:55:22 PM     all      3.41      2.27      2.27      2.27      0.00     89.77
12:55:23 PM     all     13.64      1.14      2.27      4.55      0.00     78.41
12:55:24 PM     all     29.59      1.02      9.18      9.18      1.02     50.00
12:55:25 PM     all     20.43      1.08      5.38      3.23      0.00     69.89
12:55:26 PM     all     30.85      1.06      3.19      6.38      0.00     58.51
12:55:27 PM     all      4.40      2.20      2.20     12.09      1.10     78.02
12:55:28 PM     all      8.60      1.08      3.23      4.30      0.00     82.80
12:55:29 PM     all      4.49      1.12      4.49      3.37      0.00     86.52
12:55:30 PM     all     19.15      2.13      6.38     13.83      1.06     57.45
12:55:31 PM     all     38.71      1.08      2.15      1.08      0.00     56.99
12:55:32 PM     all     35.48      3.23      1.08      1.08      0.00     59.14
12:55:33 PM     all      8.89      2.22      1.11      3.33      1.11     83.33
12:55:34 PM     all      2.25      1.12      3.37      2.25      0.00     91.01
12:55:35 PM     all      7.53      2.15      4.30      3.23      0.00     82.80
12:55:36 PM     all     26.60      3.19      2.13      4.26      1.06     62.77
12:55:37 PM     all     66.33      2.04      9.18      0.00      0.00     22.45
12:55:38 PM     all      8.99      2.25      1.12      3.37      0.00     84.27
12:55:39 PM     all      3.33      2.22      2.22      1.11      1.11     90.00
12:55:40 PM     all      6.32      4.21      2.11      3.16      0.00     84.21
12:55:41 PM     all      4.40      1.10      3.30      2.20      0.00     89.01
12:55:42 PM     all     11.96      1.09      2.17      3.26      0.00     81.52
12:55:43 PM     all      4.40      3.30      3.30      3.30      1.10     84.62
12:55:44 PM     all      8.89      1.11      5.56      5.56      0.00     78.89
12:55:45 PM     all      9.89      1.10      3.30     13.19      1.10     71.43
12:55:46 PM     all      5.62      1.12      3.37      2.25      0.00     87.64
12:55:47 PM     all      3.45      0.00      3.45      0.00      0.00     93.10
12:55:48 PM     all      3.23      3.23      6.45      0.00      1.08     86.02
12:55:49 PM     all      7.69      2.20      4.40      1.10      0.00     84.62
12:55:50 PM     all      4.35      3.26      3.26      1.09      1.09     86.96
12:55:51 PM     all     16.67      1.11      5.56      6.67      0.00     70.00
12:55:52 PM     all      4.49      1.12      6.74      4.49      0.00     83.15
12:55:53 PM     all      4.49      2.25      2.25      2.25      0.00     88.76
12:55:54 PM     all      4.35      2.17      6.52      0.00      1.09     85.87
12:55:55 PM     all      9.78      2.17      3.26      1.09      0.00     83.70
12:55:56 PM     all      3.23      2.15      4.30      0.00      1.08     89.25
12:55:57 PM     all     20.83      2.08     10.42      1.04      0.00     65.62
12:55:58 PM     all      4.44      1.11      5.56     10.00      0.00     78.89
12:55:59 PM     all      6.59      1.10      4.40      1.10      0.00     86.81
12:56:00 PM     all      9.89      2.20      2.20      0.00      1.10     84.62
12:56:01 PM     all     14.29      2.20      2.20      2.20      0.00     79.12
12:56:02 PM     all     12.90      1.08      3.23      1.08      1.08     80.65
12:56:03 PM     all      5.49      2.20      4.40      1.10      0.00     86.81
12:56:04 PM     all     10.64      3.19      9.57     12.77      0.00     63.83
12:56:05 PM     all     17.58      2.20      2.20      3.30      0.00     74.73
12:56:06 PM     all      2.27      2.27      2.27      1.14      1.14     90.91
12:56:07 PM     all      3.30      1.10      3.30      3.30      0.00     89.01
12:56:08 PM     all      6.45      3.23      3.23      6.45      1.08     79.57
12:56:09 PM     all      2.20      0.00      0.00      0.00      0.00     97.80
12:56:10 PM     all      8.60      0.00      1.08      3.23      0.00     87.10
12:56:11 PM     all     56.57      4.04      9.09      1.01      0.00     29.29
12:56:12 PM     all     20.43      2.15      4.30      0.00      0.00     73.12
12:56:13 PM     all     13.04      2.17      4.35      3.26      1.09     76.09
12:56:14 PM     all      4.17      4.17      5.21      4.17      0.00     82.29
12:56:15 PM     all      5.49      2.20      4.40      1.10      1.10     85.71
12:56:16 PM     all      3.41      2.27      2.27      2.27      0.00     89.77
12:56:17 PM     all      4.65      2.33      5.81     11.63      0.00     75.58
12:56:18 PM     all      6.25      1.04      6.25      6.25      1.04     79.17
12:56:19 PM     all      4.49      1.12      2.25      2.25      0.00     89.89
12:56:20 PM     all      3.26      1.09      1.09      4.35      1.09     89.13
12:56:21 PM     all      2.17      0.00      1.09      3.26      0.00     93.48
12:56:22 PM     all      2.17      0.00      2.17      0.00      0.00     95.65
12:56:23 PM     all      6.38      0.00      3.19      3.19      0.00     87.23
12:56:24 PM     all     14.29      0.00      5.49      7.69      1.10     71.43
12:56:25 PM     all      1.10      0.00      3.30      0.00      0.00     95.60
12:56:26 PM     all      2.13      0.00      3.19      4.26      0.00     90.43
12:56:27 PM     all      3.30      0.00      1.10      0.00      1.10     94.51
12:56:28 PM     all      5.49      0.00      1.10      0.00      0.00     93.41
12:56:29 PM     all      5.43      0.00      1.09      3.26      0.00     90.22
12:56:30 PM     all      9.78      0.00      3.26     14.13      1.09     71.74
12:56:31 PM     all      1.10      0.00      3.30      1.10      0.00     94.51
12:56:32 PM     all      7.69      0.00      1.10      3.30      0.00     87.91
12:56:33 PM     all      3.33      0.00      1.11      0.00      1.11     94.44
12:56:34 PM     all      4.35      0.00      3.26      1.09      0.00     91.30
12:56:35 PM     all      3.33      0.00      0.00      0.00      0.00     96.67
12:56:36 PM     all     10.00      0.00      2.22      0.00      0.00     87.78
12:56:37 PM     all     11.46      3.12     11.46     16.67      1.04     56.25
12:56:38 PM     all      2.22      4.44      2.22      2.22      0.00     88.89
12:56:39 PM     all      4.17      3.12      6.25      5.21      1.04     80.21
12:56:40 PM     all      4.44      2.22      4.44      5.56      0.00     83.33
12:56:41 PM     all      4.40      2.20      5.49      0.00      0.00     87.91
12:56:42 PM     all      7.87      0.00      4.49      0.00      1.12     86.52
12:56:43 PM     all      7.95      2.27      5.68     11.36      0.00     72.73
12:56:44 PM     all      3.30      1.10      3.30      3.30      1.10     87.91
12:56:45 PM     all      3.33      2.22      4.44      4.44      0.00     85.56
12:56:46 PM     all      4.40      0.00      2.20      4.40      0.00     89.01
12:56:47 PM     all      1.10      0.00      2.20      3.30      1.10     92.31
12:56:48 PM     all      1.10      0.00      2.20      0.00      0.00     96.70
12:56:49 PM     all      3.26      0.00      2.17      0.00      1.09     93.48
12:56:50 PM     all     15.73      0.00      4.49      7.87      0.00     71.91
12:56:51 PM     all      2.22      0.00      1.11      0.00      0.00     96.67
12:56:52 PM     all      1.12      0.00      1.12      0.00      0.00     97.75
12:56:53 PM     all      2.22      0.00      1.11      0.00      0.00     96.67
12:56:54 PM     all      6.52      0.00      1.09      0.00      1.09     91.30
12:56:55 PM     all      2.20      0.00      2.20      0.00      0.00     95.60
12:56:56 PM     all      6.67      0.00      6.67     14.44      1.11     71.11
12:56:57 PM     all      3.30      0.00      1.10      0.00      0.00     95.60
12:56:58 PM     all      5.43      0.00      2.17      3.26      0.00     89.13
12:56:59 PM     all      4.44      0.00      1.11      0.00      0.00     94.44
12:57:00 PM     all      1.10      0.00      2.20      0.00      1.10     95.60
12:57:01 PM     all      3.16      0.00      3.16      4.21      0.00     89.47
12:57:02 PM     all      0.00      0.00      2.17      0.00      1.09     96.74
12:57:03 PM     all      6.59      5.49      8.79     16.48      0.00     62.64
12:57:04 PM     all      2.15      3.23      3.23      3.23      0.00     88.17
12:57:05 PM     all      1.09      2.17      2.17      0.00      0.00     94.57
12:57:06 PM     all      4.26      3.19      2.13      2.13      1.06     87.23
12:57:07 PM     all      1.09      0.00      2.17      2.17      0.00     94.57
12:57:08 PM     all      2.30      1.15      2.30      2.30      1.15     90.80
12:57:09 PM     all     10.99      1.10      5.49      2.20      0.00     80.22
12:57:10 PM     all     11.24      1.12      4.49      3.37      0.00     79.78
12:57:11 PM     all     27.37      2.11     12.63     16.84      0.00     41.05
12:57:12 PM     all      6.74      1.12      2.25      2.25      1.12     86.52
12:57:13 PM     all      3.41      1.14      4.55      1.14      0.00     89.77
12:57:14 PM     all      2.20      2.20      4.40      2.20      1.10     87.91
12:57:15 PM     all      1.11      1.11      4.44      2.22      0.00     91.11
12:57:16 PM     all      3.30      1.10      5.49      1.10      0.00     89.01
12:57:17 PM     all      4.44      2.22      8.89      8.89      1.11     74.44
12:57:18 PM     all      3.41      1.14      3.41      9.09      0.00     82.95
12:57:19 PM     all      5.56      1.11      2.22      3.33      1.11     86.67
12:57:20 PM     all      4.55      2.27      1.14      5.68      0.00     86.36
12:57:21 PM     all      3.37      1.12      4.49      3.37      0.00     87.64
12:57:22 PM     all      1.15      1.15      1.15      1.15      1.15     94.25
12:57:23 PM     all      5.62      0.00     11.24     12.36      0.00     70.79
12:57:24 PM     all      4.49      2.25      2.25      6.74      1.12     83.15
12:57:25 PM     all      2.25      1.12      4.49      1.12      0.00     91.01
12:57:26 PM     all      4.40      2.20      4.40      5.49      0.00     83.52
12:57:27 PM     all      1.10      2.20      5.49      1.10      1.10     89.01
12:57:28 PM     all      4.49      2.25      5.62      2.25      0.00     85.39
12:57:29 PM     all      2.20      0.00      5.49      4.40      1.10     86.81
12:57:30 PM     all     11.24      1.12      8.99     11.24      0.00     67.42
12:57:31 PM     all      3.33      2.22      5.56      1.11      0.00     87.78
12:57:32 PM     all      2.15      2.15      5.38      1.08      1.08     88.17
12:57:33 PM     all      3.49      1.16      2.33      0.00      0.00     93.02
12:57:34 PM     all      3.33      1.11      4.44      0.00      1.11     90.00
12:57:35 PM     all      3.45      2.30      2.30      3.45      0.00     88.51
12:57:36 PM     all      6.59      2.20     12.09     10.99      0.00     68.13
12:57:37 PM     all      2.22      0.00      5.56      1.11      1.11     90.00
12:57:38 PM     all      6.67      2.22      4.44      1.11      0.00     85.56
12:57:39 PM     all      3.41      2.27      1.14      2.27      1.14     89.77
12:57:40 PM     all      4.40      2.20      3.30      1.10      0.00     89.01
12:57:41 PM     all      2.25      0.00      3.37      1.12      0.00     93.26
12:57:42 PM     all      6.52      2.17     10.87      8.70      0.00     71.74
12:57:43 PM     all      4.44      2.22      3.33      2.22      1.11     86.67
12:57:44 PM     all      2.25      2.25      4.49      1.12      0.00     89.89
12:57:45 PM     all      4.49      2.25      2.25      5.62      1.12     84.27
12:57:46 PM     all      1.14      3.41      3.41      2.27      0.00     89.77
12:57:47 PM     all      9.09      1.14      3.41      0.00      0.00     86.36
12:57:48 PM     all     20.65      2.17      6.52     11.96      1.09     57.61
12:57:49 PM     all      3.33      2.22      3.33      7.78      0.00     83.33
12:57:50 PM     all      2.22      2.22      5.56      2.22      1.11     86.67
12:57:51 PM     all      1.11      2.22      4.44      2.22      0.00     90.00
12:57:52 PM     all      4.44      2.22      5.56      2.22      0.00     85.56
12:57:53 PM     all     28.57      1.10      3.30      5.49      0.00     61.54
12:57:54 PM     all     44.21      1.05     10.53      1.05      1.05     42.11
12:57:55 PM     all      2.27      2.27      4.55      9.09      0.00     81.82
12:57:56 PM     all      3.37      1.12      2.25      0.00      1.12     92.13
12:57:57 PM     all      6.74      1.12      2.25      2.25      0.00     87.64
12:57:58 PM     all      3.37      2.25      3.37      1.12      0.00     89.89
12:57:59 PM     all      4.49      1.12      2.25      0.00      1.12     91.01
12:58:00 PM     all      4.35      1.09      4.35      1.09      0.00     89.13
12:58:01 PM     all     27.37      2.11      9.47      8.42      0.00     52.63
12:58:02 PM     all      4.26      1.06      5.32      3.19      1.06     85.11
12:58:03 PM     all      2.25      0.00      5.62      0.00      0.00     92.13
12:58:04 PM     all      7.61      2.17      4.35      7.61      0.00     78.26
12:58:05 PM     all      5.49      1.10      3.30      1.10      1.10     87.91
12:58:06 PM     all      3.30      0.00      3.30      2.20      0.00     91.21
12:58:07 PM     all      4.30      2.15      3.23      4.30      1.08     84.95
12:58:08 PM     all     10.99      1.10      8.79      5.49      0.00     73.63
12:58:09 PM     all      7.78      1.11      2.22      4.44      0.00     84.44
12:58:10 PM     all      2.20      0.00      1.10      3.30      1.10     92.31
12:58:11 PM     all      7.37      0.00      3.16      0.00      0.00     89.47
12:58:12 PM     all     32.98      0.00      1.06      1.06      0.00     64.89
12:58:13 PM     all     13.19      0.00      1.10      0.00      0.00     85.71
12:58:14 PM     all      3.19      0.00      0.00      0.00      1.06     95.74
12:58:15 PM     all      8.51      0.00      6.38      7.45      0.00     77.66
12:58:16 PM     all      1.11      0.00      1.11      2.22      0.00     95.56
12:58:17 PM     all      2.17      0.00      4.35      2.17      1.09     90.22
12:58:18 PM     all     15.05      0.00      1.08      0.00      0.00     83.87
12:58:19 PM     all      3.26      0.00      1.09      0.00      0.00     95.65
12:58:20 PM     all      3.23      0.00      2.15      0.00      1.08     93.55
12:58:21 PM     all      7.53      4.30      7.53     15.05      0.00     65.59
12:58:22 PM     all      1.11      1.11      5.56      0.00      0.00     92.22
12:58:23 PM     all      5.49      0.00      5.49      0.00      1.10     87.91
