Linux 3.13.0-100-generic (ip-172-31-1-186) 	12/24/2016 	_x86_64_	(1 CPU)

08:34:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:34:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:50 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:34:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:52 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:34:53 PM     all      8.91      0.00      0.00      0.99      0.00     90.10
08:34:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:56 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:34:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:00 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
08:35:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:05 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:35:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:14 PM     all     61.70      0.00      1.06      0.00      0.00     37.23
08:35:15 PM     all     54.74      0.00      4.21      0.00      0.00     41.05
08:35:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:20 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
08:35:21 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:35:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:23 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:35:24 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:35:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:32 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:35:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:35 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
08:35:36 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:35:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:38 PM     all      5.00      0.00      0.00      0.00      0.00     95.00
08:35:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:42 PM     all      0.00      0.00      0.99      0.00      0.99     98.02
08:35:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:45 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:35:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:50 PM     all     37.11      0.00      3.09      0.00      0.00     59.79
08:35:51 PM     all     29.00      0.00      4.00      0.00      0.00     67.00
08:35:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:59 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
08:36:00 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:36:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:03 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:36:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:05 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:36:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:14 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:36:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
